MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-07,01/01/1900 00:00,Y,NA,NA,1,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,2300,MENARD ST,21,NA,NA,4200,CHOUTEAU,903535.2,1009099
2013-07,01/01/2012 12:14,Y,NA,NA,1,171200,1,SEX OFFNS-STATUATORY RAPE/FIRST,8200,MINNESOTA AVE,2,NA,NA,8200,MINNESOTA,887531.1,987043
2013-07,01/01/2013 12:00,Y,NA,NA,1,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0,NA,NA,5468,ARLINGTON,0,0
2013-07,01/01/2013 18:30,NA,Y,NA,-1,178100,6,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,4300,SHREVE,69,NA,5908 DUPREE AVE,4300,SHREVE,0,0
2013-07,01/06/2010 12:00,Y,NA,NA,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5205,ASHLAND AVE,52,NA,NA,6115,NORTH POINTE,889314.8,1035170
2013-07,01/09/2011 13:57,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4214,S 38TH ST,16,NA,NA,4214,38TH,892296.5,1001095
2013-07,01/14/2013 08:00,Y,NA,NA,1,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6201,EMMA AVE,76,NA,NA,6201,EMMA,889336.6,1046692
2013-07,01/14/2013 12:00,Y,NA,NA,1,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5212,S COMPTON AVE,17,NA,NA,5212,COMPTON,893523.6,995353.3
2013-07,01/16/2013 10:00,Y,NA,NA,1,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3134,ILLINOIS AVE,22,NA,NA,3134,ILLINOIS,900093.2,1006256
2013-07,01/22/2009 08:00,Y,NA,NA,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4638,POPE AVE,68,NA,NA,4638,POPE,898306.7,1036462
2013-07,01/22/2013 10:38,Y,NA,NA,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36,NA,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2013-07,02/01/2013 21:55,Y,NA,NA,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1200,MARKET ST,36,NA,@CITY HALL,1200,MARKET,906055.1,1017127
2013-07,02/07/2013 16:34,Y,NA,NA,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36,NA,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2013-07,02/14/2013 15:00,Y,NA,NA,1,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3747,DUNNICA AVE,16,NA,NA,3747,DUNNICA,892027.1,1003071
2013-07,02/16/2013 00:01,Y,NA,NA,1,21000,6,RAPE -- FORCIBLE,8600,N BROADWAY,74,NA,NA,8600,NORTH BROADWAY,897614.1,1050934
2013-07,02/17/2013 14:00,Y,NA,NA,1,67601,7,"LARCENY-FROM BUILDING $500 - $24,999",1515,N KINGSHIGHWAY BLVD,52,NA,WOHL RECREATION CENTER,1515,KINGSHIGHWAY,887936,1031116
2013-07,02/17/2013 17:00,NA,Y,NA,-1,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2923,NA,19,NA,NA,2923,CHIPPEWA,0,0
2013-07,02/28/2013 10:00,Y,NA,NA,1,65701,1,LARCENY-MTR VEH PARTS UNDER $500,117,BATES ST,1,NA,BACKYARD,117,BATES,893848.6,993750.9
2013-07,03/01/2013 09:00,Y,NA,NA,1,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,2604,S JEFFERSON AVE,22,BANK OF AMERICA,NA,2604,JEFFERSON,899479.9,1009167
2013-07,03/01/2013 12:00,Y,NA,NA,1,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4252,E FARLIN AVE,68,NA,NA,4252,FARLIN,897318.3,1033189
