MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-03,01/01/1984 07:00,Y,NA,NA,1,115200,4,FRAUD-STEALING BY DECEIT/UNDER $150,2020,MARKET ST,36,NA,NA,2020,MARKET,903011.2,1018293
2010-03,01/01/2006 09:57,Y,NA,NA,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,3655,VISTA AVE,29,NA,SLU HOSPITAL,919,JEFFERSON,894661.8,1015656
2010-03,01/01/2006 14:10,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4005,WALSH ST,5,NA,NA,4005,WALSH,888434.4,998942
2010-03,01/01/2010 00:01,Y,NA,NA,1,172310,5,SEX OFFNS-STATUATORY SODOMY/SECOND,3800,W FLORISSANT AVE,67,NA,NA,4300,CLAY,901381.1,1033681
2010-03,01/01/2010 00:01,Y,NA,NA,1,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,5384,QUEENS AVE,71,NA,NA,5384,QUEENS,894476.1,1040416
2010-03,01/01/2010 00:01,Y,NA,NA,1,21000,2,RAPE -- FORCIBLE,6000,SOUTHWEST AVE,11,MASON SCHOOL,@SCHOOL - MASON,6000,SOUTHWEST,880209.8,1011331
2010-03,01/01/2010 12:00,Y,NA,NA,1,69702,4,LARCENY-ALL OTHER UNDER $500,2228,OLIVE ST,36,NA,NA,55,PLAZA,902420.1,1019281
2010-03,01/01/2010 12:00,Y,NA,NA,1,67701,1,LARCENY-FROM BUILDING UNDER $500,5901,S BROADWAY,1,JONETTIS  BAR,NA,5901,BROADWAY,893313.8,992701.5
2010-03,01/01/2010 14:00,Y,NA,NA,1,65701,7,LARCENY-MTR VEH PARTS UNDER $500,5203,WABADA AVE,52,NA,NA,5203,WABADA,888075.4,1032603
2010-03,01/01/2010 16:15,Y,NA,NA,1,52122,4,BURGLARY-BUSINESS/DAY/UNLAW ENT/UNOCCUPIED,1000,CLARK AVE,35,CUPPLES STATION BUILDING,NA,1000,CLARK,906803,1016334
2010-03,01/04/2010 02:40,NA,Y,NA,-1,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3632,MARCELINE TERR,16,NA,NA,3632,MARCELINE,0,0
2010-03,01/05/2010 15:00,Y,NA,NA,1,51112,3,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3546,NEBRASKA AVE,19,NA,NA,3546,NEBRASKA,896627.1,1004126
2010-03,01/06/2010 14:00,Y,NA,NA,1,51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1385,SHAWMUT PL,78,NA,NA,1385,SHAWMUT,882758.4,1032416
2010-03,01/06/2010 17:53,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4639,WILCOX AVE,5,NA,NA,4639,WILCOX,884717.5,1001041
2010-03,01/07/2010 11:45,NA,Y,NA,-1,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4535,VARRELMANN,5,ON STREET,ON STREET,4535,VARRELMANN,0,0
2010-03,01/07/2010 20:00,Y,NA,NA,1,115200,4,FRAUD-STEALING BY DECEIT/UNDER $150,1228,N 9TH ST,62,COCHRAN TOWERS,NA,1228,9TH,908540.2,1020760
2010-03,01/08/2010 21:00,Y,NA,NA,1,67701,1,LARCENY-FROM BUILDING UNDER $500,7026,MICHIGAN AVE,1,NA,NA,NA,NA,889896.8,990248.6
2010-03,01/10/2010 09:43,Y,NA,NA,1,121000,2,EMBEZZLEMENT-VALUE OVER $150,3282,JAMIESON AVE,9,GAS MART-DICKERSON STATION,NA,NA,NA,875303.8,1008788
2010-03,01/12/2010 13:45,Y,NA,NA,1,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,CHESTNUT ST / N TUCK,35,NA,NA,NA,NA,906484.2,1017763
2010-03,01/13/2010 10:00,Y,NA,NA,1,111110,9,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,4522,LINDELL BLVD,38,NA,NA,4816,RHODES,889054.2,1022766
