MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-02,01/01/2005 15:00,Y,NA,NA,1,179210,9,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3100,HICKORY ST,31,NA,NA,3100,HICKORY,897577.1,1015597
2010-02,01/01/2006 00:01,Y,NA,NA,1,21000,3,RAPE -- FORCIBLE,2800,ARSENAL ST,30,NA,NA,2800,ARSENAL,897537.3,1007452
2010-02,01/01/2008 00:01,Y,NA,NA,1,171200,3,SEX OFFNS-STATUATORY RAPE/FIRST,2300,INDIANA AVE,23,NA,2ND FLOOR,2300,INDIANA,899971.1,1010327
2010-02,01/01/2008 10:00,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3922,LOUISIANA AVE,16,NA,NA,3922,LOUISIANA,894295,1002059
2010-02,01/01/2010 00:01,Y,NA,NA,1,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4027,OREGON AVE,16,NA,VACANT PROPERTY,4027,OREGON,896282.1,1001023
2010-02,01/02/2010 08:00,Y,NA,NA,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,3716,SULLIVAN AVE,59,NA,NA,3716,SULLIVAN,899788.4,1028982
2010-02,01/02/2010 15:15,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3554,OSCEOLA ST,16,NA,NUISANCE PROPERTY,3554,OSCEOLA,892950.6,999491.1
2010-02,01/02/2010 20:34,Y,NA,NA,1,264100,3,HEALTH-SANITATION VIOL,3644,KOSCIUSKO ST,18,NA,NA,3644,KOSCIUSKO,901120.1,1002738
2010-02,01/03/2010 12:00,NA,NA,Y,1,53330,3,BURGLARY-OTHR NONRES/UNK TIM/ATT FORCIBLE ENTR,3605,HOLT,15,NA,GARAGE,3605,HOLT,0,0
2010-02,01/03/2010 12:00,NA,NA,Y,-1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3605,HOLT,15,NA,GARAGE,3605,HOLT,0,0
2010-02,01/03/2010 12:16,Y,NA,NA,1,67701,3,LARCENY-FROM BUILDING UNDER $500,3107,S GRAND BLVD,15,NA,@DOMINOS PIZZA - S GRAND,3107,GRAND,893764.1,1008345
2010-02,01/03/2010 19:18,NA,NA,Y,1,51230,1,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY,3733,DUNNICA,16,NA,NA,3733,DUNNICA,0,0
2010-02,01/03/2010 19:18,NA,NA,Y,-1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3733,DUNNICA,16,NA,NA,3733,DUNNICA,0,0
2010-02,01/03/2010 22:00,Y,NA,NA,1,67601,7,"LARCENY-FROM BUILDING $500 - $24,999",6235,DELMAR BLVD,48,NA,@DELMAR RESTAURANT AND LOUNGE,6235,DELMAR,877122.5,1027707
2010-02,01/03/2010 23:32,NA,NA,Y,1,51230,1,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY,4904,BROADWAY,17,NA,:APT N,4904,BROADWAY,0,0
2010-02,01/03/2010 23:32,NA,NA,Y,-1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4904,BROADWAY,17,NA,:APT N,4904,BROADWAY,0,0
2010-02,01/04/2010 07:35,NA,Y,NA,-1,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4955,DAVISON AVE,72,NA,NA,4955,DAVISON,890830.3,1041406
2010-02,01/04/2010 07:35,Y,NA,NA,1,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4955,DAVISON AVE,72,NA,NA,4955,DAVISON,890830.3,1041406
2010-02,01/04/2010 08:30,Y,NA,NA,1,264100,3,HEALTH-SANITATION VIOL,3931,WYOMING ST,15,NA,NA,3931,WYOMING,891289.3,1007423
2010-02,01/04/2010 11:34,Y,NA,NA,1,266999,7,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5805,SELBER CT,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5805,SELBER,884807.3,1037849
